Date,Product,Category,Sales,Quantity,Region,Customer_Satisfaction
2024-01-01,Laptop,Electronics,1299.99,5,North,4.5
2024-01-02,Mouse,Electronics,29.99,15,South,4.2
2024-01-03,Keyboard,Electronics,79.99,10,East,4.7
2024-01-04,Monitor,Electronics,349.99,8,West,4.6
2024-01-05,Desk Chair,Furniture,199.99,6,North,4.3
2024-01-06,Standing Desk,Furniture,499.99,3,South,4.8
2024-01-07,Notebook,Office Supplies,5.99,50,East,4.1
2024-01-08,Pen Set,Office Supplies,12.99,30,West,4.0
2024-01-09,Webcam,Electronics,89.99,12,North,4.4
2024-01-10,Headphones,Electronics,149.99,20,South,4.9
2024-01-11,USB Cable,Electronics,9.99,40,East,3.8
2024-01-12,Laptop Stand,Electronics,39.99,18,West,4.5
2024-01-13,Bookshelf,Furniture,129.99,4,North,4.2
2024-01-14,File Cabinet,Furniture,179.99,5,South,4.3
2024-01-15,Whiteboard,Office Supplies,89.99,8,East,4.6
2024-01-16,Markers,Office Supplies,15.99,25,West,4.1
2024-01-17,Tablet,Electronics,499.99,7,North,4.7
2024-01-18,Phone Case,Electronics,19.99,35,South,4.0
2024-01-19,Desk Lamp,Electronics,45.99,14,East,4.4
2024-01-20,Ergonomic Mouse,Electronics,59.99,11,West,4.8
2024-01-21,Conference Table,Furniture,899.99,2,North,4.5
2024-01-22,Office Chair,Furniture,249.99,9,South,4.6
2024-01-23,Paper,Office Supplies,24.99,60,East,3.9
2024-01-24,Stapler,Office Supplies,8.99,22,West,4.2
2024-01-25,Printer,Electronics,299.99,6,North,4.3
2024-01-26,Scanner,Electronics,199.99,4,South,4.5
2024-01-27,Desk Organizer,Office Supplies,29.99,16,East,4.1
2024-01-28,Calculator,Office Supplies,19.99,20,West,4.0
2024-01-29,Monitor Arm,Electronics,79.99,10,North,4.7
2024-01-30,Laptop Bag,Electronics,49.99,13,South,4.4
2024-01-31,External SSD,Electronics,129.99,8,East,4.9
2024-02-01,Laptop,Electronics,1399.99,4,West,4.6
2024-02-02,Mouse Pad,Electronics,14.99,28,North,4.2
2024-02-03,Keyboard Tray,Furniture,59.99,7,South,4.3
2024-02-04,Monitor,Electronics,399.99,6,East,4.7
2024-02-05,Executive Chair,Furniture,399.99,5,West,4.8
2024-02-06,Adjustable Desk,Furniture,549.99,3,North,4.9
2024-02-07,Sticky Notes,Office Supplies,4.99,45,South,3.8
2024-02-08,Highlighters,Office Supplies,9.99,32,East,4.1
2024-02-09,HD Webcam,Electronics,129.99,9,West,4.5
2024-02-10,Wireless Headphones,Electronics,199.99,15,North,4.8
2024-02-11,HDMI Cable,Electronics,12.99,38,South,4.0
2024-02-12,Monitor Riser,Electronics,34.99,19,East,4.4
2024-02-13,Storage Cabinet,Furniture,159.99,6,West,4.3
2024-02-14,Desk Drawer,Furniture,89.99,8,North,4.2
2024-02-15,Cork Board,Office Supplies,39.99,12,South,4.5
2024-02-16,Dry Erase Markers,Office Supplies,18.99,24,East,4.2
2024-02-17,iPad,Electronics,599.99,5,West,4.9
2024-02-18,Protective Case,Electronics,24.99,30,North,4.1
2024-02-19,LED Desk Lamp,Electronics,54.99,13,South,4.6
2024-02-20,Wireless Mouse,Electronics,39.99,17,East,4.7
